"","State","Total","White","Black","American Indian and Alaska Native","Asian","Native Hawaiian","Other"
"1","Alabama",4767326,67.55,27.19,0.71,1.61,0.06,2.88
"2","Alaska",643867,67.62,3.4,17.33,6.84,1.97,2.84
"3","Arizona",6154696,70.23,5.51,5.19,4.18,0.27,14.62
"4","Arkansas",2797949,75.57,16.22,0.97,1.85,0.52,4.86
"5","California",33777988,48.24,6.62,1.87,18.02,0.47,24.78
"6","Colorado",5066044,80.59,4.64,1.46,3.94,0.2,9.16
"7","Connecticut",3273040,73.18,11.88,0.49,5.27,0.05,9.14
"8","Delaware",913430,65.44,23.96,0.56,4.67,0.05,5.31
"9","District.of.Columbia",633468,43.13,45.12,0.5,5.3,0.07,5.89
"10","Florida",17986115,69.07,18.05,0.53,3.58,0.08,8.7
"11","Georgia",9968000,55.73,33.31,0.51,4.81,0.07,5.57
"12","Hawaii",1087142,30.65,2.15,0.4,49.85,14.48,2.46
"13","Idaho",1685901,89.59,0.93,1.52,1.59,0.22,6.15
"14","Illinois",11667524,67.44,15.5,0.83,6.47,0.04,9.73
"15","Indiana",6348802,82.56,10.21,0.41,2.65,0.05,4.12
"16","Iowa",3011086,89.49,4.38,0.48,2.51,0.19,2.95
"17","Kansas",2657373,83.63,6.35,1.17,3.25,0.13,5.47
"18","Kentucky",4260996,87.1,8.51,0.3,1.75,0.09,2.26
"19","Louisiana",4384380,60.62,33.39,0.72,1.97,0.04,3.25
"20","Maine",1297649,95.33,1.98,0.61,1.29,0.03,0.75
"21","Maryland",5695323,52.81,31.96,0.56,7.39,0.06,7.22
"22","Massachusetts",6421050,76.25,7.69,0.37,7.91,0.04,7.74
"23","Michigan",9442016,78.85,14.58,0.65,3.54,0.03,2.35
"24","Minnesota",5360773,82.51,7.43,1.28,5.58,0.05,3.14
"25","Mississippi",2850547,58.2,38.04,0.58,1.15,0.04,1.99
"26","Missouri",5741742,82.56,12.19,0.53,2.32,0.17,2.23
"27","Montana",1012950,90.48,0.54,6.67,0.82,0.09,1.39
"28","Nebraska",1817341,84.63,5.31,1.27,2.91,0.08,5.79
"29","Nevada",2670605,59.48,11.41,1.65,10.21,0.94,16.32
"30","New.Hampshire",1299787,93.57,1.55,0.23,2.76,0.03,1.85
"31","New.Jersey",8385500,60.97,14.55,0.61,11.33,0.04,12.51
"32","New.Mexico",1695276,63.64,2.71,12.52,2.21,0.12,18.8
"33","New.York",18433786,60.45,16.2,0.81,10.49,0.06,11.99
"34","North.Carolina",9727667,66.7,22,1.34,3.53,0.09,6.35
"35","North.Dakota",737154,87.63,3.63,5.28,1.79,0.13,1.54
"36","Ohio",11118076,81.67,13.3,0.28,2.68,0.05,2.02
"37","Oklahoma",3451195,72.87,8.4,9.64,2.64,0.25,6.2
"38","Oregon",3793917,83.53,2.18,1.66,5.13,0.51,7
"39","Pennsylvania",12228216,79.74,11.64,0.25,4.17,0.03,4.16
"40","Rhode.Island",995585,78.64,6.24,0.74,3.91,0.05,10.41
"41","South.Carolina",4820049,67.29,26.57,0.5,1.88,0.07,3.69
"42","South.Dakota",840002,85.16,2.12,9.26,1.6,0.06,1.79
"43","Tennessee",6497942,76.81,16.82,0.43,2.09,0.06,3.79
"44","Texas",24011767,60.84,14.8,1.16,6.6,0.14,16.46
"45","Utah",2992603,85.99,1.34,1.39,2.69,1.23,7.36
"46","Vermont",606051,95.33,1.49,0.38,1.91,0.03,0.87
"47","Virginia",7925686,65.72,20.28,0.5,7.77,0.09,5.64
"48","Washington",6868622,74.7,4.48,1.77,10.64,0.95,7.47
"49","West.Virginia",1708772,94.26,3.85,0.22,0.88,0.03,0.76
"50","Wisconsin",5534184,85.61,6.8,1.09,3.17,0.04,3.29
"51","Wyoming",533378,91.56,0.98,2.61,0.98,0.11,3.77
"52","Puerto.Rico",1650083,33.97,13.86,1.08,0.24,0.04,50.8
